angle,fps
59.89966,717.22186
59.999657,715.5106
60.099655,718.72266
60.199654,724.1174
60.299652,739.72754
60.39965,739.3573
60.49965,723.8674
60.599648,721.20984
60.699646,720.42426
60.799644,724.2022
60.899643,723.5375
60.99964,724.5391
61.09964,724.3065
61.19964,722.0426
61.299637,725.1
61.399635,721.80347
61.499634,739.75684
61.599632,738.9931
61.69963,720.94446
61.79963,719.11633
61.899628,720.3248
61.999626,719.7711
62.099625,718.7294
62.199623,720.46375
62.29962,717.6255
62.39962,721.92145
62.49962,717.61145
62.599617,722.0015
62.699615,739.9681
62.799614,735.06506
62.899612,717.8949
62.99961,717.6757
63.09961,720.4504
63.199608,719.0902
63.299606,723.08167
63.399605,722.3924
63.499603,727.70245
63.5996,722.258
63.6996,725.6573
63.7996,731.7616
63.899597,748.4752
63.999596,750.1686
64.099594,732.0572
64.19959,734.35626
64.29959,734.68976
64.39959,735.9681
64.49959,733.63635
64.59959,737.9722
64.699585,733.1429
64.79958,736.7811
64.89958,738.1167
64.99958,739.44293
65.09958,753.2562
65.19958,755.23047
65.299576,739.3815
65.399574,742.28235
65.49957,744.0361
65.59957,741.22595
65.69957,743.8832
65.79957,738.89343
65.89957,733.1479
65.999565,733.7024
66.09956,741.0573
66.19956,738.8981
66.29956,751.93915
66.39956,750.8032
66.49956,748.2001
66.599556,732.76447
66.699554,736.23694
66.79955,723.08997
66.89955,730.4855
66.99955,726.05286
67.09955,727.1383
67.19955,728.1021
67.299545,727.97144
67.39954,728.84595
67.49954,732.56067
67.59954,752.3784
67.69954,752.3537
67.79954,749.91534
67.899536,749.404
67.999535,752.1278
68.09953,749.68964
68.19953,748.4271
68.29953,755.99554
68.39953,756.26306
68.49953,757.76215
68.599525,757.78033
68.699524,752.2471
68.79952,771.1752
68.89952,774.68616
68.99952,772.2463
69.09952,757.371
69.19952,759.5009
69.299515,756.70624
69.39951,753.7371
69.49951,757.15125
69.59951,758.6452
69.69951,764.8573
69.79951,760.2533
69.899506,747.99994
69.999504,754.37866
70.0995,771.71106
70.1995,772.70984
70.2995,755.46515
70.3995,761.2267
70.4995,757.61664
70.599495,761.1869
70.69949,761.0239
70.79949,768.9142
70.89949,782.6838
70.99949,782.43677
71.09949,782.42413
71.199486,785.992
71.299484,804.9298
71.39948,806.4294
71.49948,807.79016
71.59948,789.00964
71.69948,793.7719
71.79948,793.32654
71.899475,798.26404
71.99947,801.47736
72.09947,805.1427
72.19947,804.41016
72.29947,805.6574
72.39947,805.60986
72.499466,811.4385
72.599464,830.57776
72.69946,828.62714
72.79946,820.88293
72.89946,811.91156
72.99946,790.3656
73.09946,792.07306
73.199455,792.9754
73.29945,794.3511
73.39945,791.62366
73.49945,786.6191
73.59945,785.3766
73.69945,786.8239
73.799446,796.7286
73.899445,796.6567
73.99944,817.0233
74.09944,815.738
74.19944,806.06146
74.29944,785.2989
74.39944,787.2538
74.499435,786.8429
74.599434,783.2236
74.69943,780.2295
74.79943,780.3464
74.89943,780.1734
74.99943,786.54834
75.09943,785.2543
75.199425,793.9818
75.29942,816.4021
75.39942,813.90576
75.49942,825.7424
75.59942,810.1208
75.69942,814.976
75.799416,817.9656
75.899414,821.71716
75.99941,818.11755
76.09941,823.1921
76.19941,825.266
76.29941,825.55237
76.39941,831.6839
76.499405,822.9253
76.5994,842.4969
76.6994,845.9264
76.7994,845.1281
76.8994,848.7671
76.9994,827.7567
77.099396,826.46155
77.199394,827.1172
77.29939,831.04816
77.39939,832.2259
77.49939,833.5132
77.59939,835.21545
77.69939,832.3488
77.799385,831.68665
77.89938,830.48865
77.99938,855.1992
78.09938,855.63654
78.19938,856.2593
78.29938,850.79083
78.399376,828.6229
78.499374,830.3337
78.59937,830.7882
78.69937,830.3198
78.79937,831.3758
78.89937,834.4515
78.99937,833.2754
79.099365,829.9788
79.19936,826.0124
79.29936,830.424
79.39936,850.66565
79.49936,850.4518
79.59936,849.9619
79.699356,848.9764
79.799355,828.1624
79.89935,817.3537
79.99935,816.48834
80.09935,811.08203
80.19935,813.9733
80.29935,812.4345
80.399345,811.65
80.499344,815.50256
80.59934,818.5218
80.69934,812.1582
80.79934,834.1074
80.89934,842.88837
80.99934,845.932
81.099335,832.4066
81.19933,832.9515
81.29933,831.9335
81.39933,835.4652
81.49933,824.7166
81.59933,827.8877
81.699326,835.4557
81.799324,835.1561
81.89932,836.59033
81.99932,834.2916
82.09932,853.6878
82.19932,859.6501
82.29932,860.1305
82.399315,858.687
82.49931,845.94855
82.59931,838.5067
82.69931,836.8075
82.79931,835.91345
82.89931,835.8252
82.999306,832.7591
83.099304,835.2794
83.1993,830.6185
83.2993,829.9938
83.3993,830.21497
83.4993,847.2243
83.5993,849.9331
83.699295,851.91864
83.79929,851.38086
83.89929,828.6556
83.99929,829.5745
84.09929,826.804
84.19929,822.8136
84.299286,826.1102
